candidate_id	species	material_key	context_length	eligible_nonoverlap_windows	eligible	status
bb5dcc92012e8623	Glycine max	tongshantianedan	1024	973849	True	ELIGIBLE
bb5dcc92012e8623	Glycine max	tongshantianedan	8192	121555	True	ELIGIBLE
bb5dcc92012e8623	Glycine max	tongshantianedan	32768	30238	True	ELIGIBLE
bb5dcc92012e8623	Glycine max	tongshantianedan	65536	15024	True	ELIGIBLE
bb5dcc92012e8623	Glycine max	tongshantianedan	131072	7464	True	ELIGIBLE
bb5dcc92012e8623	Glycine max	tongshantianedan	262144	3697	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	1024	2473442	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	8192	307672	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	32768	75583	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	65536	36909	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	131072	17595	True	ELIGIBLE
bf8095e2d8c1826f	Arachis hypogaea	tifrunner	262144	8079	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	1024	434777	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	8192	44591	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	32768	5945	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	65536	1226	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	131072	117	True	ELIGIBLE
c3cea47e840df975	Cicer arietinum	cdcfrontier	262144	3	True	ELIGIBLE
ccbf7ded4553c2ef	Glycine soja	figa1003	1024	939224	True	ELIGIBLE
ccbf7ded4553c2ef	Glycine soja	figa1003	8192	116480	True	ELIGIBLE
