candidate_id	archive_relative_path	member_name	material	archive_size_bytes	archive_mtime_ns	archive_sha256	member_uncompressed_bytes	member_crc32_hex	paired_genome_ids
119e4965e0483f09	soyod/PI548362/gff/PI548362.annotation.zip	PI548362.annotation.gff	PI548362	10835535	1780802104000000000	1ad229f1eacb0bbecff9072592e02d9630159adda6fc5e623c29392af5f93a46	126687205	94b787b3	1be01f5f92a0f04c
5be5c3176dfe54b5	soyod/PI549046/gff/PI549046.annotation.zip	PI549046.annotation.gff	PI549046	10510448	1780802159000000000	a1dd41d6e2d0bd95ee997a1ede3a1f6cd7ea5dec871e31114d7c798ef433175f	122204204	4428651f	0700c0718eb788f3
6a243f8552b4908c	soyod/PI562565/gff/PI562565.annotation.zip	PI562565.annotation.gff	PI562565	10610081	1780802242000000000	c486c0d858d3cdc6300d0045cb6246bb2f253fd03f265bfdcd1da52e56d97d9f	123275829	d7aa3cf5	7637736cfaabf83f
6eb69aae9c51b6a5	soyod/PI578357/gff/PI578357.annotation.zip	PI578357.annotation.gff	PI578357	10249646	1780802313000000000	77effaa2acac1ca82f35ca0f6c990461288ff03ebba3d2045996b90d9e11a2fb	117842308	ad22e74c	9c9f3af5ad23d8c6
ec8358f523e5ea50	soyod/Qi_Huang_34/gff/Qi_Huang_34.annotation.zip	Qi_Huang_34.annotation.gff	Qi_Huang_34	9821974	1780802375000000000	bedcf03ce4aad7af402979da83c44b17d9c6fc4084b11eaa196ef5b5eb9a039c	112069934	95f4343c	d23af3808fe5a8a7
f7c154ccf7957bfe	soyod/Shi_Sheng_Chang_Ye/gff/Shi_Sheng_Chang_Ye.annotation.zip	Shi_Sheng_Chang_Ye.annotation.gff	Shi_Sheng_Chang_Ye	10818165	1780802432000000000	b9cf904e48bf069b8eb37515be0fa64383613c7717691ccb2de22787d7f2d854	125517405	a1fda9b4	caa7d41de3b3aad2
2c6cfb10bd57f49f	soyod/Tian_Long_1/gff/Tian_Long_1.annotation.zip	Tian_Long_1.annotation.gff	Tian_Long_1	6746537	1780802464000000000	22d1978d7d3800b583330742fe6bcdddd81970f3596a88ce9bae254732765cc0	74093144	3060e5a8	.
d0764d23a8a56311	soyod/Tie_Feng_18/gff/Tie_Feng_18.annotation.zip	Tie_Feng_18.annotation.gff	Tie_Feng_18	10180068	1780802511000000000	04bf24548a773a1238aea7216fbb018a3e2d83d7231807a8e51e962498cb4dfa	117237701	672d792a	728a9ec44b58cf13
0d645653946afb67	soyod/Tie_Jia_Si_Li_Huang/gff/Tie_Jia_Si_Li_Huang.annotation.zip	Tie_Jia_Si_Li_Huang.annotation.gff	Tie_Jia_Si_Li_Huang	10717561	1780802571000000000	1e07530d1058d1f808465869f1a64cd90afa0eeccde915735c63406f7463bbc5	124427539	1cdeb8d8	27f698c88acc8914
e65c39aaf35b847a	soyod/Tong_Shan_Tian_E_Dan/gff/Tong_Shan_Tian_E_Dan.annotation.zip	Tong_Shan_Tian_E_Dan.annotation.gff	Tong_Shan_Tian_E_Dan	10283968	1780802625000000000	42b2bba419242b29c2c56d4726db5900d459224f00310ceb61faca14cd95f085	118585935	de12d469	f5f06129ea549673
