candidate_id	relative_path	size_bytes	file_sha256	file_member_count	total_uncompressed_bytes	crc_verified_count	crc_failure_count	encrypted_member_count	unsafe_member_count	high_compression_ratio_count	status
e33b334a5ae1896c	soyod/Han_Dou_5/protein/Han_Dou_5.protein.zip	12247284	b4289a6605c72e34add4816a436d2d4ba57d13c53838c46fb073e2e1c7f5a56b	1	38330429	1	0	0	0	0	PASS
3b700109a025352d	soyod/Hei_He_43/cds/Hei_He_43.CDS.zip	19065835	072411a89e08fd7b34df7cc541ca872b22ca2ab7c05dbcf0d946ed6b4ee51b6a	1	103072963	1	0	0	0	0	PASS
b8c78959ba62649f	soyod/Hei_He_43/genome/Hei_He_43.genome.zip	241186046	93842dc50ce774c265c5fb01fd2108d59c83d9b8b5a524adc5aa6d44fc4c2364	1	1010092463	1	0	0	0	0	PASS
6c16ef2906e6b6a0	soyod/Hei_He_43/gff/Hei_He_43.annotation.zip	10274110	c4c1c7013902c684af3e1a857bc550a3e687fcbbd57d725ca18a372bbdb1d145	1	118073414	1	0	0	0	0	PASS
23329209ebe7da12	soyod/Hei_He_43/mrna/Hei_He_43.mRNA.zip	29068980	baf97788b94886d72928c064c2f79da7faa034edf2033c8d46ca2d22b893268f	1	151581093	1	0	0	0	0	PASS
960f3cc14643f8ea	soyod/Hei_He_43/protein/Hei_He_43.protein.zip	11705657	a2dc78234348134006d52fa66d313ba2c7a1accaabd117c02ec8ef097e1bf69f	1	35479986	1	0	0	0	0	PASS
fde2c55d78431b4b	soyod/Ji_Dou_17/cds/Ji_Dou_17.CDS.zip	20189581	7b6f1f3c30f217e15523b82817e6d738c868177f469162fa6b5a54319e6ab1f7	1	112980645	1	0	0	0	0	PASS
35ac134a4421141e	soyod/Ji_Dou_17/genome/Ji_Dou_17.genome.zip	249870826	01fabe63c6d3af384441a8d21621e20f9b812e76c21f905d28de2e3b67aec2c8	1	1024485520	1	0	0	0	0	PASS
7363c8667a303a91	soyod/Ji_Dou_17/gff/Ji_Dou_17.annotation.zip	10844404	72ce124eaef19f9d2e227284c81466a65df0c6a76039f49ab1d62f49f06d77ef	1	126591282	1	0	0	0	0	PASS
b3b6d56436f5ccd2	soyod/Ji_Dou_17/mrna/Ji_Dou_17.mRNA.zip	30295370	c8cf874fc94fc8567f580f5f7d9df2f7075ef610d5acd2db0bec8a3a52281521	1	163680616	1	0	0	0	0	PASS
