candidate_id	archive_relative_path	member_name	material	archive_size_bytes	archive_mtime_ns	archive_sha256	member_uncompressed_bytes	member_crc32_hex
66bd9b9a0ae1df14	soyod/PI483463/genome/PI483463.genome.zip	PI483463.genome.fasta	PI483463	261352991	1780802037000000000	d5a18f9cd026d35456be699ad208b8b65d925de6946d333e82f22115bb28ad58	1001689847	803080e5
1be01f5f92a0f04c	soyod/PI548362/genome/PI548362.genome.zip	PI548362.genome.fasta	PI548362	243397747	1780802095000000000	64c8875d6a144aef90af9240df41fef0b5e231b4dd692250b0e3a8cf57292384	1004897448	6d33f8b8
0700c0718eb788f3	soyod/PI549046/genome/PI549046.genome.zip	PI549046.genome.fasta	PI549046	245034385	1780802155000000000	d8129adb9ec1f40780ec1a20eab7f4d3e073beca758e2f502cbe5ae28ca2da55	1006958331	a93cb1e1
7637736cfaabf83f	soyod/PI562565/genome/PI562565.genome.zip	PI562565.genome.fasta	PI562565	244007878	1780802237000000000	d03640b46e6c0dd6cd7e368979223d8003f7293157fe47397c78f505581b9a77	1021347916	095cff58
9c9f3af5ad23d8c6	soyod/PI578357/genome/PI578357.genome.zip	PI578357.genome.fasta	PI578357	242352634	1780802309000000000	bb7077b09818a4c7d4252315db0cafb72d76920f4442937486c2b57b6779e375	1014548605	4771897b
d23af3808fe5a8a7	soyod/Qi_Huang_34/genome/Qi_Huang_34.genome.zip	Qi_Huang_34.genome.fasta	Qi_Huang_34	241442000	1780802370000000000	0973cf04a712623a497390d040a48fcb4b008dfc09b684d74977fa3366f6e727	1002282893	58304d3a
caa7d41de3b3aad2	soyod/Shi_Sheng_Chang_Ye/genome/Shi_Sheng_Chang_Ye.genome.zip	Shi_Sheng_Chang_Ye.genome.fasta	Shi_Sheng_Chang_Ye	249369560	1780802428000000000	9502cff6617352e6b1b60915505c80094ed269947508ad2041d656b6333cc4b5	1028223747	737bba28
728a9ec44b58cf13	soyod/Tie_Feng_18/genome/Tie_Feng_18.genome.zip	Tie_Feng_18.genome.fasta	Tie_Feng_18	242670660	1780802506000000000	2ed7af783d24a0225a02212afca5bd4850024acdd65a59a0f37f67e41962cba7	1011073921	6a4ecb8f
27f698c88acc8914	soyod/Tie_Jia_Si_Li_Huang/genome/Tie_Jia_Si_Li_Huang.genome.zip	Tie_Jia_Si_Li_Huang.genome.fasta	Tie_Jia_Si_Li_Huang	243306660	1780802567000000000	ff51742af539305d8cd914c61301758aa861a8e5537b3b8bf6589f1e6ae2e77c	999714116	4ec82709
f5f06129ea549673	soyod/Tong_Shan_Tian_E_Dan/genome/Tong_Shan_Tian_E_Dan.genome.zip	Tong_Shan_Tian_E_Dan.genome.fasta	Tong_Shan_Tian_E_Dan	249604801	1780802621000000000	a1055cd5ff1f42d9c0b2224cd0ce7fa600fc7c2f4bbd4ff3ff686faac3f76ad7	1039514171	a7d66414
778b018dd0c2b098	soyod/W05/genome/W05.genome.zip	W05.genome.fasta	W05	242677694	1780802679000000000	eb29f495d78a7a1b97c68da8d564410a077e6152f7ad766feeafc615a993156b	1013241812	bead6f12
e43bb976311a10d3	soyod/Wan_Dou_28/genome/Wan_Dou_28.genome.zip	Wan_Dou_28.genome.fasta	Wan_Dou_28	242276008	1780802727000000000	8f732896377ea186cb8f4a8dc1fcbb7174f97bb586d1619f015a1cfb8923b8e9	1001499638	08bffd13
1289b4099cddb5dc	soyod/Williams82.a4.v1/genome/Williams82.a4.v1.genome.zip	Williams82.a4.v1.genome.fasta	Williams82.a4.v1	251683228	1706623296000000000	90e5e10c669fa2db50f67327ff48ffa522446787f62b82a6eefb899cb641a883	990620630	03362561
48721bfe29638e78	soyod/Williams_82_T2T/genome/W82_T2T.genome.zip	W82_T2T.genome.fasta	Williams_82_T2T	257058642	1706623248000000000	ef7230edb29dcb07cc1dc377458b81de421e88d2727fba9bb4022b77da637265	1021913479	dcc870f9
e74544f21bb63e52	soyod/Xu_Dou_1/genome/Xu_Dou_1.genome.zip	Xu_Dou_1.genome.fasta	Xu_Dou_1	242126253	1780802796000000000	89b14e7c35494109ac846504054c1bf706f273da58b21b12b450afa200b559ee	1003797389	dab4c39e
58846353edbf3856	soyod/Yesheng71_T2T/genome/Yesheng71.genome.zip	Yesheng71_T2T_genome.fasta	Yesheng71_T2T	258803666	1780803014000000000	e993ca825ce719d26e07a79cbb6e551009a8f4f60145480fbcc321ed9222ec61	1035349442	ab95e4dd
5799d550972348b4	soyod/Yu_Dou_22/genome/Yu_Dou_22.genome.zip	Yu_Dou_22.genome.fasta	Yu_Dou_22	241214324	1780801483000000000	163aa6eb72d767bd59f38851c5bd11babe91ce6b89fe02ce8ca7849f5f1fed97	1007879872	c8a02954
42e6902fc05e0c1a	soyod/Yundou1_T2T/genome/Yundou1.genome.zip	Yundou1_T2T_genome.fasta	Yundou1_T2T	257369920	1780803073000000000	07675319604e8f69aaf4af7215488519f88c4692d77f4bfeea076e258a750dad	1025324054	41075428
027c09fbd90a132f	soyod/ZH13_T2T-2/genome/ZH13_T2T-2.genome.zip	ZH13_T2T-2.genome.fasta	ZH13_T2T-2	263107912	1780803124000000000	2e8e3589b581b447efb6222ec138f97665f1d40146bdfb41d25507f10abb28db	1031942087	5e395f19
f905cd9135788524	soyod/Zhong_Huang_13.v1/genome/Zhong_Huang_13.v1.genome.zip	Zhong_Huang_13.v1.genome.fasta	Zhong_Huang_13.v1	260202715	1706623340000000000	182d058f40984bd10ae36e757697f5e6726ce6c1129f59101e1b96c6c7d339e3	1030527402	9d6e9880
f4acbfef17315648	soyod/Zhong_Huang_13.v2/genome/Zhong_Huang_13.v2.genome.zip	Zhong_Huang_13.v2.genome.fasta	Zhong_Huang_13.v2	245425363	1706623350000000000	382a07921f713b8542d7fee1954372edcd86bf5852fbe3047d3e9ff645c7082c	1011958661	a5b2303f
484ac27242746eae	soyod/Zhong_Huang_13_T2T/genome/ZH13_T2T.genome.zip	ZH13_T2T.genome.fasta	Zhong_Huang_13_T2T	255959924	1706623324000000000	a393934cf58643dd89ec7621562378cdacf221a91335d30660cc34c3f1844318	1017311706	be8e270e
0a83296898386360	soyod/Zhutwinning2/genome/Zhutwinning2.genome.zip	Zhutwinning2.genome.fasta	Zhutwinning2	241766261	1780802891000000000	1f64eb702267061617bf6b3782eab3dfa6d0e98efd3a25898584d339d8f6f14c	999202653	894931c9
373c9eab4b86d0b4	soyod/Zi_Hua_4/genome/Zi_Hua_4.genome.zip	Zi_Hua_4.genome.fasta	Zi_Hua_4	242863222	1780802946000000000	8342445d430f851d5a8342bc68a194e08ee983b72631c209bd28985c1c70a127	1011672179	aff55f3b
