archive_candidate_id	archive_relative_path	member_name	member_type	uncompressed_bytes	compressed_bytes	crc32_hex	encrypted	safe_path	crc_verified	error_type	status
fb8e6a3a273786e9	soyod/PI562565/cds/PI562565.CDS.zip	PI562565.CDS.fasta	fasta	110318351	19780366	bcb18a45	false	true	true		PASS
b969c976a2d39758	soyod/PI562565/genome/PI562565.genome.zip	PI562565.genome.fasta	fasta	1021347916	244007702	095cff58	false	true	true		PASS
3fffa7e85f4fe5a0	soyod/PI562565/gff/PI562565.annotation.zip	PI562565.annotation.gff	annotation	123275829	10609901	d7aa3cf5	false	true	true		PASS
564b5bcbe5ade21d	soyod/PI562565/mrna/PI562565.mRNA.zip	PI562565.mRNA.fasta	fasta	159949680	29902523	0ae159d1	false	true	true		PASS
b8af2a78e32f9da3	soyod/PI562565/ncrna/PI562565.ncRNA.gff3.zip	PI562565.ncRNA.gff3	annotation	861389	83430	3a3d9c32	false	true	true		PASS
8eae16e0aa2740f9	soyod/PI562565/protein/PI562565.protein.zip	PI562565.protein.fasta	fasta	37923495	12143991	ebcf2aba	false	true	true		PASS
566ced55eef1834e	soyod/PI578357/cds/PI578357.CDS.zip	PI578357.CDS.fasta	fasta	102646888	19181678	fa76fb49	false	true	true		PASS
3285efe132daf350	soyod/PI578357/genome/PI578357.genome.zip	PI578357.genome.fasta	fasta	1014548605	242352458	4771897b	false	true	true		PASS
0d1867b70efeb992	soyod/PI578357/gff/PI578357.annotation.zip	PI578357.annotation.gff	annotation	117842308	10249466	ad22e74c	false	true	true		PASS
09cbe99f03848b36	soyod/PI578357/mrna/PI578357.mRNA.zip	PI578357.mRNA.fasta	fasta	149583204	28409357	2b24deef	false	true	true		PASS
dc8d7d6245eed68a	soyod/PI578357/ncrna/PI578357.ncRNA.gff3.zip	PI578357.ncRNA.gff3	annotation	959952	92655	300cf958	false	true	true		PASS
57b14047b6bc361d	soyod/PI578357/protein/PI578357.protein.zip	PI578357.protein.fasta	fasta	35335248	11697147	9ce5d398	false	true	true		PASS
