candidate_id	orientation_signature	orientation_group_id	orientation_group_size	orientation_representative
2206735389f8037c	f9a3e9e7f63f40bf88bbe849a277ab64de209577ada3d6e05e57c54379d17451	orientation-f9a3e9e7f63f40bf	1	True
230ff5af852ebb17	5403bcf7b57e56762bc9770e4653b886fa1fee01cd8dd17b9ab63468e3250693	orientation-5403bcf7b57e5676	1	True
24b40cf02b3d8889	2395f24032e61a5b46812f3b53237bd83b9984e984df74c849496111204e9d58	orientation-2395f24032e61a5b	1	True
24e3f03ccd507b5e	651b3ad151440a2ea289eca7ff480593524ff002321ef6d6662f6ea37043e4fe	orientation-651b3ad151440a2e	1	True
24f2a123e400711d	45f7244ae9a8529347ca51c3c5c8a6efd4ba7886ac37b545929ead9d41292e50	orientation-45f7244ae9a85293	1	True
2541638755aba373	8cc7a8a158a211eba1b0a3fc17a3d64a169565a546bee887a25982238b8b7f08	orientation-8cc7a8a158a211eb	1	True
257bdc8c02ae8e94	441a2bc41ee455db6f08e74e6014b0071c7ed5d2a2d01ee1c45a8e8881fde27e	orientation-441a2bc41ee455db	1	True
25f7a12b481e1aef	f7448f9744a29929acf888c8c8b90b32cbd86476e530788a3a6790666557e11a	orientation-f7448f9744a29929	1	True
260e15d3d4bcaddf	46ed942b5c64e75c607c70c1513ab28121ec76ce4d461153b7f6c2d730e8b4ba	orientation-46ed942b5c64e75c	1	True
2668c38c34899fbd	65554951bc8140865e9da2c897edddb77fdd9ae6788848f7e96af81958c5e84e	orientation-65554951bc814086	1	True
26cafc21598b8a1f	35057822f613cddef0d349a83469db508a0ae783b0a9914d304b97a05a3b56fe	orientation-35057822f613cdde	1	True
276bf5aba98fcde7	a775704cb5384bf904831e767816d6a7494ef608498a8ee5225ca13881b293a2	orientation-a775704cb5384bf9	1	True
282a2bc92d129efa	dac43fe9b7a4e4867b071f93539aa34463ce869a8ead505e98b7341b8013f237	orientation-dac43fe9b7a4e486	1	True
28848ab5829075a7	0ee658a459d0fbc8efa638b75bd6c00c7287774713b83d729dafb79fced18b9b	orientation-0ee658a459d0fbc8	1	True
29502e1062edfe93	646f3ce1a5c74ede45972476f3dd36ac34e35267b485dc2aa5a3bf52b747b966	orientation-646f3ce1a5c74ede	1	True
2b995edfcb89c886	449492977ba797cee867f746dea37d34ab2f2b521e1fd44cae071d2124f61631	orientation-449492977ba797ce	1	True
2bc7377298bd3fae	ebee7723becb6f3b9959504558a2f27166054aca3e6b006598657322b0d6cbf9	orientation-ebee7723becb6f3b	1	True
2c2bfa188a2ecbed	240070084b65f7d6a6a2bfd3852976d271e590e52f004aeab3200ac63fc80c75	orientation-240070084b65f7d6	2	True
2c32947ccaad4cd0	cb020b9b77c898bbaec6798b16670d68e43f2a53af7e8665e6c32f16933fd85b	orientation-cb020b9b77c898bb	1	True
2ca78acb5d4cc2d1	b096e1f7c0751b8bfe8145079948bb1a15edb1be9c5f778ad9b6bfc422cf5cd4	orientation-b096e1f7c0751b8b	2	True
2cdc63a68248433e	ac2be0b3d25ac36742698e261a007f56b76a9d98e31bd06640326b95b77240ee	orientation-ac2be0b3d25ac367	1	True
2d478aa217e9bb5c	a7f8e4ffd3635ed758fe3ebc02b6df3056cc33b91b05187e22be26b5a91154b9	orientation-a7f8e4ffd3635ed7	1	True
2daddc3ee04c2da4	e20a4d972efd8067a15b27dd112edfbf2f6fbe0d934ad0d038a720c8b8df9355	orientation-e20a4d972efd8067	1	True
2e6270d00994b4eb	1876d6f4e62b1777828fc8ae53e9b4361aceefbdba3b65333d2cdb9a1c997078	orientation-1876d6f4e62b1777	1	True
2f841394a8ac723e	09d6f68addfcf0bfb51a59b5f762542bdc5ccf5d2e4e417eaecc91f949812503	orientation-09d6f68addfcf0bf	1	True
31c80bbe41bbc722	f8296e5306804408a3d8856a3c6a939e2aea83b09f650f23709e63a3c9680c06	orientation-f8296e5306804408	1	True
3374dd5070afe91a	4f17623756aed5c9c87b89a645f9ef3b4432470674736f0c8018970791292357	orientation-4f17623756aed5c9	1	True
338b426684d64480	418663b00e474669910101abeae97710b35a64b224b3dba8ffd07cf9d273d72a	orientation-418663b00e474669	2	False
