doi	title	journal	year	publisher	authors	url	publication_type	nature_portfolio	query_ids	sources
10.1128/genomea.00552-18	Complete Genome Sequence of Mycobacterium shigaense	Genome Announcements	2018	American Society for Microbiology	Yoshida, Mitsunori; Fukano, Hanako; Ogura, Yoshitoshi; Kazumi, Yuko; Mitarai, Satoshi; Hayashi, Tetsuya; Hoshino, Yoshihiko	https://doi.org/10.1128/genomea.00552-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00421-18	Complete Genome Sequence of Oyster Isolate Vibrio vulnificus Env1	Genome Announcements	2018	American Society for Microbiology	Noorian, Parisa; Sun, Shuyang; McDougald, Diane	https://doi.org/10.1128/genomea.00421-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.01460-17	Complete Genome Sequence of Pittsburgh Sewage-Associated Virus 1	Genome Announcements	2018	American Society for Microbiology	Cantalupo, Paul G.; Pipas, James M.	https://doi.org/10.1128/genomea.01460-17	journal-article	false	long_context_genome	crossref
10.1128/genomea.00267-18	Complete Genome Sequence of Sphingobium sp. Strain YG1, a Lignin Model Dimer-Metabolizing Bacterium Isolated from Sediment in Kagoshima Bay, Japan	Genome Announcements	2018	American Society for Microbiology	Ohta, Yukari; Shimane, Yasuhiro; Nishi, Shinro; Ichikawa, Junko; Kurosawa, Kanako; Tsubouchi, Taishi; Ishii, Shun'ichi	https://doi.org/10.1128/genomea.00267-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00073-18	Complete Genome Sequence of Temperate Stenotrophomonas maltophilia Bacteriophage DLP5	Genome Announcements	2018	American Society for Microbiology	Peters, Danielle L.; Dennis, Jonathan J.	https://doi.org/10.1128/genomea.00073-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00237-18	Complete Genome Sequence of the Methanococcus maripaludis Type Strain JJ (DSM 2067), a Model for Selenoprotein Synthesis in Archaea	Genome Announcements	2018	American Society for Microbiology	Poehlein, Anja; Heym, Daniel; Quitzke, Vivien; Fersch, Julia; Daniel, Rolf; Rother, Michael	https://doi.org/10.1128/genomea.00237-18	journal-article	false	long_context_genome	crossref
10.3390/genes9100493	Complete Genome Sequence of the Model Halovirus PhiH1 (ΦH1)	Genes	2018	MDPI AG	Dyall-Smith, Mike; Pfeifer, Felicitas; Witte, Angela; Oesterhelt, Dieter; Pfeiffer, Friedhelm	https://doi.org/10.3390/genes9100493	journal-article	false	long_context_genome	crossref
10.1128/genomea.01448-17	"Complete Genome Sequence of the Model Oleaginous Alga
            <i>Nannochloropsis gaditana</i>
            CCMP1894"	Genome Announcements	2018	American Society for Microbiology	Schwartz, Ariel S.; Brown, Rob; Ajjawi, Imad; McCarren, Jay; Atilla, Suzan; Bauman, Nick; Richardson, Toby H.	https://doi.org/10.1128/genomea.01448-17	journal-article	false	long_context_genome	crossref
10.1186/s40793-018-0322-2	Complete genome sequence of the nitrogen-fixing bacterium Azospirillum humicireducens type strain SgZ-5T	Standards in Genomic Sciences	2018	Springer Science and Business Media LLC	Yu, Zhen; Yang, Guiqin; Liu, Xiaoming; Wang, Yueqiang; Zhuang, Li; Zhou, Shungui	https://doi.org/10.1186/s40793-018-0322-2	journal-article	false	omnireg_gpt	crossref
10.1186/s40793-018-0321-3	Complete genome sequence of the Robinia pseudoacacia L. symbiont Mesorhizobium amorphae CCNWGS0123	Standards in Genomic Sciences	2018	Springer Science and Business Media LLC	Wang, Xinye; Luo, Yantao; Liu, Dongying; Wang, Jiamei; Wei, Shi; Zhao, Liang	https://doi.org/10.1186/s40793-018-0321-3	journal-article	false	omnireg_gpt	crossref
10.1128/genomea.00470-18	Complete Genome Sequence of the Virulent Aeromonas salmonicida subsp. masoucida Strain RFAS1	Genome Announcements	2018	American Society for Microbiology	Kim, Ahran; Nguyen, Thanh Luan; Kim, Do-Hyung	https://doi.org/10.1128/genomea.00470-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00037-18	"Complete Genome Sequences of 11 Type Species from the
            <i>Thermococcus</i>
            Genus of Hyperthermophilic and Piezophilic Archaea"	Genome Announcements	2018	American Society for Microbiology	Oger, Philippe M.	https://doi.org/10.1128/genomea.00037-18	journal-article	false	cross_species	crossref
10.1080/23802359.2018.1491333	Complete mitochondrial genome of <i>Caranx equula</i> (Perciformes, Carangidae): genome characterization and phylogenetic analysis	Mitochondrial DNA Part B	2018	Informa UK Limited	Sun, Yuena; Xu, Tianjun	https://doi.org/10.1080/23802359.2018.1491333	journal-article	false	dna_genome_language_model	crossref
10.1080/23802359.2018.1491334	Complete mitochondrial genome of Red bigeye (<i>Priacanthus macracanthus</i>): genome characterization and phylogenetic analysis	Mitochondrial DNA Part B	2018	Informa UK Limited	Sun, Yuena; Xu, Tianjun	https://doi.org/10.1080/23802359.2018.1491334	journal-article	false	dna_genome_language_model	crossref
10.18699/wibsb-2018-43	Computer genomics of regulatory single nucleotide polymorphisms in neurodegenerative diseases based on metabolic pathways models	Первое Российско-Китайское рабочее совещание по интегративной биоинформатике и компьютерной системной биологии	2018	Institute of Cytology and Genetics, SB RAS		https://doi.org/10.18699/wibsb-2018-43	journal-article	false	nucleotide_transformer	crossref
10.1186/s40793-017-0288-5	Correction to: Neisseria lactamica Y92–1009 complete genome sequence	Standards in Genomic Sciences	2018	Springer Science and Business Media LLC	Pandey, Anish K.; Cleary, David W.; Laver, Jay R.; Maiden, Martin C. J.; Didelot, Xavier; Gorringe, Andrew; Read, Robert C.	https://doi.org/10.1186/s40793-017-0288-5	journal-article	false	omnireg_gpt	crossref
10.1093/bfgp/ely041	Corrigendum to: Single-nucleotide variants in human RNA: RNA editing and beyond	Briefings in Functional Genomics	2018	Oxford University Press (OUP)	Guo, Yan; Yu, Hui; Samuels, David C; Yue, Wei; Ness, Scott; Zhao, Ying-yong	https://doi.org/10.1093/bfgp/ely041	journal-article	false	nucleotide_transformer	crossref
10.1007/s11816-018-0509-4	CRISPR/Cas-mediated genome editing for crop improvement: current applications and future prospects	Plant Biotechnology Reports	2018	Springer Science and Business Media LLC	Jang, Geupil; Joung, Young Hee	https://doi.org/10.1007/s11816-018-0509-4	journal-article	false	plant_crop	crossref
10.1111/tpj.14139	Crop genome‐wide association study: a harvest of biological relevance	The Plant Journal	2018	Wiley	Liu, Hai‐Jun; Yan, Jianbing	https://doi.org/10.1111/tpj.14139	journal-article	false	plant_crop	crossref
10.1186/s12864-018-5042-x	Cryptic sequence features in the active postmortem transcriptome	BMC Genomics	2018	Springer Science and Business Media LLC	Noble, Peter A.; Pozhitkov, Alexander E.	https://doi.org/10.1186/s12864-018-5042-x	journal-article	false	regulatory_genomics	crossref
10.1016/j.dnarep.2018.09.012	Cutting-edge perspectives in genomic maintenance V	DNA Repair	2018	Elsevier BV	Hanawalt, Philip C.; Wilson, Samuel H.	https://doi.org/10.1016/j.dnarep.2018.09.012	journal-article	false	genome_scaling	crossref
10.1186/s12919-018-0114-0	Data for GAW20: genome-wide DNA sequence variation and epigenome-wide DNA methylation before and after fenofibrate treatment in a family study of metabolic phenotypes	BMC Proceedings	2018	Springer Science and Business Media LLC	Aslibekyan, Stella; Almasy, Laura; Province, Michael A.; Absher, Devin M.; Arnett, Donna K.	https://doi.org/10.1186/s12919-018-0114-0	journal-article	false	gpn_exact;gpn_msa	crossref
10.1186/s12859-018-2284-1	De novo profile generation based on sequence context specificity with the long short-term memory network	BMC Bioinformatics	2018	Springer Science and Business Media LLC	Yamada, Kazunori D.; Kinoshita, Kengo	https://doi.org/10.1186/s12859-018-2284-1	journal-article	false	long_context_genome	crossref
10.1371/journal.pgen.1007805	Deleterious mitochondrial DNA point mutations are overrepresented in Drosophila expressing a proofreading-defective DNA polymerase γ	PLOS Genetics	2018	Public Library of Science (PLoS)	Samstag, Colby L.; Hoekstra, Jake G.; Huang, Chiu-Hui; Chaisson, Mark J.; Youle, Richard J.; Kennedy, Scott R.; Pallanck, Leo J.	https://doi.org/10.1371/journal.pgen.1007805	journal-article	false	maize_variant_exact	crossref
10.1093/gbe/evy177	Developmental Constraints on Genome Evolution in Four Bilaterian Model Species	Genome Biology and Evolution	2018	Oxford University Press (OUP)	Liu, Jialin; Robinson-Rechavi, Marc	https://doi.org/10.1093/gbe/evy177	journal-article	false	cross_species;dnabert2;dnabert2_exact	crossref
10.1186/s12864-018-4725-7	Differential gene transcription across the life cycle in Daphnia magna using a new all genome custom-made microarray	BMC Genomics	2018	Springer Science and Business Media LLC	Campos, Bruno; Fletcher, Danielle; Piña, Benjamín; Tauler, Romà; Barata, Carlos	https://doi.org/10.1186/s12864-018-4725-7	journal-article	false	evo2_exact	crossref
10.1101/gr.236620.118	DIG-seq: a genome-wide CRISPR off-target profiling method using chromatin DNA	Genome Research	2018	Cold Spring Harbor Laboratory	Kim, Daesik; Kim, Jin-Soo	https://doi.org/10.1101/gr.236620.118	journal-article	false	gpn_exact;gpn_msa	crossref
10.1186/s12864-017-4340-z	Discovery of cell-type specific DNA motif grammar in cis-regulatory elements using random Forest	BMC Genomics	2018	Springer Science and Business Media LLC	Wang, Xin; Lin, Peijie; Ho, Joshua W. K.	https://doi.org/10.1186/s12864-017-4340-z	journal-article	false	regulatory_genomics;species_aware_exact	crossref
10.1016/j.dnarep.2018.08.019	DNA double-strand breaks as drivers of neural genomic change, function, and disease	DNA Repair	2018	Elsevier BV	Alt, Frederick W.; Schwer, Bjoern	https://doi.org/10.1016/j.dnarep.2018.08.019	journal-article	false	genome_scaling	crossref
10.12705/671.10.s2	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.10.s2	journal-article	false	regulatory_genomics	crossref
10.12705/671.3.s2	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.3.s2	journal-article	false	regulatory_genomics	crossref
10.12705/671.5.s2	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.5.s2	journal-article	false	regulatory_genomics	crossref
10.12705/671.6.s	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.6.s	journal-article	false	regulatory_genomics	crossref
10.12705/671.7.s	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.7.s	journal-article	false	regulatory_genomics	crossref
10.12705/671.8.s2	DNA sequence alignment	Taxon	2018	Wiley		https://doi.org/10.12705/671.8.s2	journal-article	false	regulatory_genomics	crossref
10.1186/s12864-018-4881-9	DNA sequence-based re-assessment of archived Cronobacter sakazakii strains isolated from dairy products imported into China between 2005 and 2006	BMC Genomics	2018	Springer Science and Business Media LLC	Guo, Qingyan; Yang, Jielin; Forsythe, S. J.; Jiang, Yuan; Han, Wei; He, Yuping; Niu, Bing	https://doi.org/10.1186/s12864-018-4881-9	journal-article	false	regulatory_genomics	crossref
10.1186/s13059-018-1478-1	DNA Topoisomerase I differentially modulates R-loops across the human genome	Genome Biology	2018	Springer Science and Business Media LLC	Manzo, Stefano G.; Hartono, Stella R.; Sanz, Lionel A.; Marinello, Jessica; De Biasi, Sara; Cossarizza, Andrea; Capranico, Giovanni; Chedin, Frederic	https://doi.org/10.1186/s13059-018-1478-1	journal-article	false	grover	crossref
10.1111/mec.14515	Does genomic variation in a foundation species predict arthropod community structure in a riparian forest?	Molecular Ecology	2018	Wiley	Kagiya, Shinnosuke; Yasugi, Masaki; Kudoh, Hiroshi; Nagano, Atsushi J.; Utsumi, Shunsuke	https://doi.org/10.1111/mec.14515	journal-article	false	genomic_foundation_model	crossref
10.1016/j.molp.2018.02.009	Double the Genome, Double the Fun: Genome Duplications in Angiosperms	Molecular Plant	2018	Elsevier BV	Jiao, Yuannian	https://doi.org/10.1016/j.molp.2018.02.009	journal-article	false	plantcaduceus	crossref
10.1128/genomea.00128-18	Draft Genome Sequence and Annotation of the Phytopathogenic Ralstonia pickettii (Previously Burkholderia glumae) Strain ICMP-8657	Genome Announcements	2018	American Society for Microbiology	Paterson, Julia; Gross, Harald	https://doi.org/10.1128/genomea.00128-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00031-18	"Draft Genome Sequence of a Polymyxin B-Resistant Sequence Type 195 Clinical Isolate of
            <i>Acinetobacter baumannii</i>
            from India"	Genome Announcements	2018	American Society for Microbiology	Agarwal, Bina; Agarwala, Niraj; Saikia, Sarangapani; Sarkar, Snigdha; Ahmed, Giasuddin	https://doi.org/10.1128/genomea.00031-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00620-18	Draft Genome Sequence of a Potentially Novel Streptococcus Species Belonging to the Streptococcus mitis Group	Genome Announcements	2018	American Society for Microbiology	Kirkeleite, Ingerid Ø.; Bohlin, Jon; Scheffer, Lonneke; Weme, Einar T.; Vestrheim, Didrik F.	https://doi.org/10.1128/genomea.00620-18	journal-article	false	cross_species	crossref
10.1128/genomea.00028-18	"Draft Genome Sequence of an Active Heterotrophic Nitrifier-Denitrifier,
            <i>Cupriavidus pauculus</i>
            UM1"	Genome Announcements	2018	American Society for Microbiology	Putonti, Catherine; Polley, Nathaniel; Castignetti, Domenic	https://doi.org/10.1128/genomea.00028-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00002-18	"Draft Genome Sequence of Anaerobic Fermentative Bacterium
            <i>Anaeromicrobium sediminis</i>
            DY2726D"	Genome Announcements	2018	American Society for Microbiology	Zhang, Jing; Hu, Junxi; Zhang, Xiaobo; Zeng, Xiang	https://doi.org/10.1128/genomea.00002-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00251-18	Draft Genome Sequence of Aspergillus oryzae ATCC 12892	Genome Announcements	2018	American Society for Microbiology	Deng, Shuang; Pomraning, Kyle R.; Bohutskyi, Pavlo; Magnuson, Jon K.	https://doi.org/10.1128/genomea.00251-18	journal-article	false	long_context_genome	crossref
10.1128/genomea.00559-18	Draft Genome Sequence of Bifidobacterium longum UMA026, Isolated from Holstein Dairy Cow Feces	Genome Announcements	2018	American Society for Microbiology	Albert, Korin; Sela, David A.	https://doi.org/10.1128/genomea.00559-18	journal-article	false	long_context_genome	crossref
10.1186/s40793-018-0312-4	Draft genome sequence of Bosea sp. WAO an arsenite and sulfide oxidizer isolated from a pyrite rock outcrop in New Jersey	Standards in Genomic Sciences	2018	Springer Science and Business Media LLC	Walczak, Alexandra B.; Yee, Nathan; Young, Lily Y.	https://doi.org/10.1186/s40793-018-0312-4	journal-article	false	omnireg_gpt	crossref
10.1128/genomea.00186-18	Draft Genome Sequence of Carbapenem-Resistant Pseudomonas fluorescens Strain BWKM6, Isolated from Feces of Mareca penelope	Genome Announcements	2018	American Society for Microbiology	Kenzaka, Takehiko; Tani, Katsuji	https://doi.org/10.1128/genomea.00186-18	journal-article	false	long_context_genome	crossref
