relative_path	kind	file_type	size_bytes	mtime_ns	link_target	mode_octal
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/bed/arahy.BaileyII.gnm1.ann1.PQM7.gene_models_main.bed.gz	file	interval	1045219	1780812567000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/cds/arahy.BaileyII.gnm1.ann1.PQM7.cds.fna.gz	file	fasta	23792892	1780812610000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/cds/arahy.BaileyII.gnm1.ann1.PQM7.cds_primary.fna.gz	file	fasta	21729511	1780812584000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/functional_iprscan/arahy.BaileyII.gnm1.ann1.PQM7.iprscan.gff3.gz	file	annotation	12189455	1780812577000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/gene_family/arahy.BaileyII.gnm1.ann1.PQM7.legfed_v1_0.M65K.gfa.tsv.gz	file	other	1740814	1780812567000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/gene_family/arahy.BaileyII.gnm1.ann1.PQM7.legume.fam3.VLMQ.gfa.tsv.gz	file	other	1048629	1780812567000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/gff3/arahy.BaileyII.gnm1.ann1.PQM7.gene_models_main.gff3.gz	file	annotation	22854171	1780812584000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/mrna/arahy.BaileyII.gnm1.ann1.PQM7.mrna.fna.gz	file	fasta	33171652	1780812599000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/mrna/arahy.BaileyII.gnm1.ann1.PQM7.mrna_primary.fna.gz	file	fasta	29723757	1780812600000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/protein/arahy.BaileyII.gnm1.ann1.PQM7.protein.faa.gz	file	other	13901730	1780812583000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/BaileyII.gnm1.ann1.PQM7/protein/arahy.BaileyII.gnm1.ann1.PQM7.protein_primary.faa.gz	file	other	13339466	1780812582000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.2559/genome/arahy.C76-16.gnm1.2559.genome_main.fna.gz	file	fasta	719429843	1780813753000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/cds/arahy.C76-16.gnm1.ann1.5MP1.cds.fna.gz	file	fasta	25382101	1780812611000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/gff3/arahy.C76-16.gnm1.ann1.5MP1.gene_models_main.gff3.gz	file	annotation	10421003	1780812585000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/gff3/arahy.C76-16.gnm1.ann1.5MP1.noncoding.gff3.gz	file	annotation	719	1780812585000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/mrna/arahy.C76-16.gnm1.ann1.5MP1.mrna.fna.gz	file	fasta	37499351	1780812597000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/C76-16.gnm1.ann1.5MP1/protein/arahy.C76-16.gnm1.ann1.5MP1.protein.faa.gz	file	other	16202651	1780812599000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.96DS/genome/arahy.F07.gnm1.96DS.genome_main.fna.gz	file	fasta	719541171	1780813843000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.ann1.1DJN/cds/arahy.F07.gnm1.ann1.1DJN.cds.fna.gz	file	fasta	26441046	1780812609000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.ann1.1DJN/gff3/arahy.F07.gnm1.ann1.1DJN.gene_models_main.gff3.gz	file	annotation	10579313	1780812595000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.ann1.1DJN/gff3/arahy.F07.gnm1.ann1.1DJN.noncoding.gff3.gz	file	annotation	514	1780812599000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.ann1.1DJN/mrna/arahy.F07.gnm1.ann1.1DJN.mrna.fna.gz	file	fasta	39118874	1780812611000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/F07.gnm1.ann1.1DJN/protein/arahy.F07.gnm1.ann1.1DJN.protein.faa.gz	file	other	16882048	1780812610000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Fuhuasheng.gnm1.XX5Y/genome/arahy.Fuhuasheng.gnm1.XX5Y.genome_main.fna.gz	file	fasta	651068267	1780813770000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.MN6K/genome/arahy.ICG1471.gnm1.MN6K.genome_main.fna.gz	file	fasta	697012308	1780813821000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.ann1.BK1B/cds/arahy.ICG1471.gnm1.ann1.BK1B.cds.fna.gz	file	fasta	24399882	1780812618000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.ann1.BK1B/gff3/arahy.ICG1471.gnm1.ann1.BK1B.gene_models_main.gff3.gz	file	annotation	10026574	1780812607000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.ann1.BK1B/gff3/arahy.ICG1471.gnm1.ann1.BK1B.noncoding.gff3.gz	file	annotation	717	1780812609000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.ann1.BK1B/mrna/arahy.ICG1471.gnm1.ann1.BK1B.mrna.fna.gz	file	fasta	35977505	1780813181000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/ICG1471.gnm1.ann1.BK1B/protein/arahy.ICG1471.gnm1.ann1.BK1B.protein.faa.gz	file	other	15584247	1780812633000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Shitouqi.gnm1.L4VP/genome/arahy.Shitouqi.gnm1.L4VP.genome_main.fna.gz	file	fasta	747684589	1780814086000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/genome/arahy.Tifrunner.gnm1.KYV3.genome_main.fna.gz	file	fasta	674659881	1780814174000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/genome/arahy.Tifrunner.gnm1.KYV3.genome_softmasked.fna.gz	file	fasta	163387295	1780813859000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.KYV3/repeat/arahy.Tifrunner.gnm1.KYV3.genome_repeatmask_coords.gff.gz	file	annotation	64664172	1780813796000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/bed/arahy.Tifrunner.gnm1.ann1.CCJH.gene_models_main.bed.gz	file	interval	1285599	1780812616000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/cds/arahy.Tifrunner.gnm1.ann1.CCJH.cds.fna.gz	file	fasta	23145518	1780812633000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/cds/arahy.Tifrunner.gnm1.ann1.CCJH.cds_primary.fna.gz	file	fasta	21840030	1780812632000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/gene_family/arahy.Tifrunner.gnm1.ann1.CCJH.legfed_v1_0.M65K.gfa.tsv.gz	file	other	1066747	1780812616000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/gene_family/arahy.Tifrunner.gnm1.ann1.CCJH.legume.fam3.VLMQ.gfa.tsv.gz	file	other	1927067	1780812621000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/gff3/arahy.Tifrunner.gnm1.ann1.CCJH.gene_models_main.gff3.gz	file	annotation	23816073	1780813184000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/gff3/arahy.Tifrunner.gnm1.ann1.CCJH.noncoding.gff3.gz	file	annotation	276	1780812623000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/mrna/arahy.Tifrunner.gnm1.ann1.CCJH.mrna.fna.gz	file	fasta	34020680	1780813192000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/mrna/arahy.Tifrunner.gnm1.ann1.CCJH.mrna_primary.fna.gz	file	fasta	31262914	1780813195000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/protein/arahy.Tifrunner.gnm1.ann1.CCJH.protein.faa.gz	file	other	14522068	1780812629000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/protein/arahy.Tifrunner.gnm1.ann1.CCJH.protein_primary.faa.gz	file	other	14138431	1780812633000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm1.ann1.CCJH/repeat/arahy.Tifrunner.gnm1.ann1.CCJH.repeats_complex.gff3.gz	file	annotation	53023699	1780813262000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.J5K5/genome/arahy.Tifrunner.gnm2.J5K5.genome_main.fna.gz	file	fasta	656861401	1780814141000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.J5K5/genome/arahy.Tifrunner.gnm2.J5K5.genome_softmasked.fna.gz	file	fasta	740850235	1780814384000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.ann1.4K0L/bed/arahy.Tifrunner.gnm2.ann1.4K0L.gene_models_main.bed.gz	file	interval	1285855	1780813228000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.ann1.4K0L/cds/arahy.Tifrunner.gnm2.ann1.4K0L.cds.fna.gz	file	fasta	24944719	1780813215000000000		-rw-rw-r--
legume_family/legumeinfo/Arachis/hypogaea/Tifrunner.gnm2.ann1.4K0L/cds/arahy.Tifrunner.gnm2.ann1.4K0L.cds_primary.fna.gz	file	fasta	23851075	1780813225000000000		-rw-rw-r--
