candidate_id	relative_path	source	annotation_role	is_primary_gene_model	assembly_key	paired_assembly_ids	size_bytes	mtime_ns
6f834897e62c478a	legume_family/ncbi/Glycine_soja/ASM419377v2/gff3/GCF_004193775.1_ASM419377v2_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_soja|ASM419377v2	3692bd8191b45c00	16748166	1780833254000000000
10aa18971bb1e701	legume_family/ncbi/Glycine_soja/WHFS_GsojaF_1.0/gff3/GCA_014282345.1_WHFS_GsojaF_1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Glycine_soja|WHFS_GsojaF_1.0	613e5d02eee44955	9091636	1780833360000000000
7a61322e1ba06211	legume_family/ncbi/Medicago_truncatula/MedtrA17_3.5/gff3/GCF_000219495.1_MedtrA17_3.5_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Medicago_truncatula|MedtrA17_3.5	6f87e906bc8ad96c	8345855	1780835950000000000
0e14428a45521177	legume_family/ncbi/Phaseolus_vulgaris/P._vulgaris_v2.0/gff3/GCF_000499845.2_P._vulgaris_v2.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Phaseolus_vulgaris|P._vulgaris_v2.0	195fb29e3840d61b	9779782	1780837004000000000
1e02bf4530d60d20	legume_family/ncbi/Sphenostylis_stenocarpa/hybrid_with_Hi-C/gff3/GCA_963425845.1_hybrid_with_Hi-C_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Sphenostylis_stenocarpa|hybrid_with_Hi-C	be425e28c0ff085b	7108572	1780837390000000000
b1e93753d27256ba	legume_family/ncbi/Trifolium_pratense/trifolium_pratense_var_milvus_v3/gff3/GCA_949352195.3_trifolium_pratense_var_milvus_v3_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Trifolium_pratense|trifolium_pratense_var_milvus_v3	8b3cca50063af126	15498521	1780837674000000000
bdf948942c164bf9	legume_family/ncbi/Trifolium_repens/UTM_Trep_v1.0/gff3/GCA_030408175.1_UTM_Trep_v1.0_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Trifolium_repens|UTM_Trep_v1.0	d330c11feebb1356	16546928	1780837720000000000
c1e7560cc81522b0	legume_family/ncbi/Trifolium_repens/drTriRepe4_hap1_1.5/gff3/GCA_032173615.1_drTriRepe4_hap1_1.5_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Trifolium_repens|drTriRepe4_hap1_1.5	e9882add53dcf4dc	17115877	1780837937000000000
0c09937dc2528e18	legume_family/ncbi/Vigna_angularis/ASM1680809v1/gff3/GCF_016808095.1_ASM1680809v1_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Vigna_angularis|ASM1680809v1	230ff5af852ebb17	10246394	1780838622000000000
0ff7e5d518319f72	legume_family/ncbi/Vigna_unguiculata/ASM395868v2/gff3/GCA_003958685.2_ASM395868v2_genomic.gff.gz	legume_family_ncbi	ncbi_genomic	true	legume_family_ncbi|Vigna_unguiculata|ASM395868v2	7efb61008671695f	6424978	1780839494000000000
