candidate_id	relative_path	source	genus	species	assembly_label	genome_role	size_bytes	mtime_ns
e5f3e53684beec9c	legume_family/ncbi/Ammopiptanthus_mongolicus/Am_WGS_v1.0/genome/GCA_039655645.1_Am_WGS_v1.0_genomic.fna.gz	legume_family_ncbi	Ammopiptanthus	Ammopiptanthus mongolicus	Am_WGS_v1.0	ncbi_genomic	254576251	1780827550000000000
d0ab1863147c6dab	legume_family/ncbi/Anthyllis_vulneraria/drAntVuln1.hap1.1/genome/GCA_965615755.1_drAntVuln1.hap1.1_genomic.fna.gz	legume_family_ncbi	Anthyllis	Anthyllis vulneraria	drAntVuln1.hap1.1	ncbi_genomic	94325908	1780827537000000000
ba76f40759842b0e	legume_family/ncbi/Apios_priceana/ASM5180255v1/genome/GCA_051802555.1_ASM5180255v1_genomic.fna.gz	legume_family_ncbi	Apios	Apios priceana	ASM5180255v1	ncbi_genomic	565777448	1780827933000000000
92f7f0ccd5377589	legume_family/ncbi/Arachis_duranensis/Aradu.V14167_v2.0/genome/GCA_026016865.1_Aradu.V14167_v2.0_genomic.fna.gz	legume_family_ncbi	Arachis	Arachis duranensis	Aradu.V14167_v2.0	ncbi_genomic	297187850	1780828009000000000
502062c5bedafb3b	legume_family/ncbi/Arachis_hypogaea/arahy.Tifrunner.gnm2.J5K5/genome/GCF_003086295.3_arahy.Tifrunner.gnm2.J5K5_genomic.fna.gz	legume_family_ncbi	Arachis	Arachis hypogaea	arahy.Tifrunner.gnm2.J5K5	ncbi_genomic	765878382	1780830387000000000
95486f63b7f485a6	legume_family/ncbi/Arachis_hypogaea_subsp._fastigiata/arahy.TennRed.gnm1/genome/GCA_022829005.1_arahy.TennRed.gnm1_genomic.fna.gz	legume_family_ncbi	Arachis	Arachis hypogaea subsp. fastigiata	arahy.TennRed.gnm1	ncbi_genomic	764222610	1780830422000000000
835872309eedbf9b	legume_family/ncbi/Astragalus_alpinus/drAstAlpi1.hap1.1/genome/GCA_964188245.1_drAstAlpi1.hap1.1_genomic.fna.gz	legume_family_ncbi	Astragalus	Astragalus alpinus	drAstAlpi1.hap1.1	ncbi_genomic	214065646	1780830669000000000
a48215b6f4d40922	legume_family/ncbi/Astragalus_membranaceus/ASM3951918v1/genome/GCA_039519185.1_ASM3951918v1_genomic.fna.gz	legume_family_ncbi	Astragalus	Astragalus membranaceus	ASM3951918v1	ncbi_genomic	424262259	1780830948000000000
2e6270d00994b4eb	legume_family/ncbi/Cajanus_cajan/C.cajan_V1.1/genome/GCF_000340665.2_C.cajan_V1.1_genomic.fna.gz	legume_family_ncbi	Cajanus	Cajanus cajan	C.cajan_V1.1	ncbi_genomic	174435565	1780830945000000000
91d9e7a5c6007f1c	legume_family/ncbi/Cicer_arietinum/ASM34727v2/genome/GCA_000347275.2_ASM34727v2_genomic.fna.gz	legume_family_ncbi	Cicer	Cicer arietinum	ASM34727v2	ncbi_genomic	146801365	1780831142000000000
9424d12775920470	legume_family/ncbi/Cicer_arietinum/ASM634578v1/genome/GCA_006345785.1_ASM634578v1_genomic.fna.gz	legume_family_ncbi	Cicer	Cicer arietinum	ASM634578v1	ncbi_genomic	96393991	1780831208000000000
391e92e38f9fb945	legume_family/ncbi/Crotalaria_pallida/Cpal_1/genome/GCA_037953625.1_Cpal_1_genomic.fna.gz	legume_family_ncbi	Crotalaria	Crotalaria pallida	Cpal_1	ncbi_genomic	348227495	1780831433000000000
eac340c47f32c565	legume_family/ncbi/Glycine_max/ASM5677679v1/genome/GCA_056776795.1_ASM5677679v1_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	ASM5677679v1	ncbi_genomic	303985999	1780832016000000000
18614e22cfd1167a	legume_family/ncbi/Glycine_max/Glycine_max_v2.1/genome/GCF_000004515.5_Glycine_max_v2.1_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	Glycine_max_v2.1	ncbi_genomic	296400788	1780832253000000000
1be2867072344ebf	legume_family/ncbi/Glycine_max/GmBRS537.a1.v2/genome/GCA_012273815.2_GmBRS537.a1.v2_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	GmBRS537.a1.v2	ncbi_genomic	300179953	1780832315000000000
daaf35616f73e2f4	legume_family/ncbi/Glycine_max/GmaxFiskeby_v1.0/genome/GCA_044510105.1_GmaxFiskeby_v1.0_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	GmaxFiskeby_v1.0	ncbi_genomic	303227646	1780832414000000000
c3e1a3b63f0f368d	legume_family/ncbi/Glycine_max/GmaxWilliams82ISU01_v2.0/genome/GCA_043381025.1_GmaxWilliams82ISU01_v2.0_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	GmaxWilliams82ISU01_v2.0	ncbi_genomic	302529736	1780832452000000000
67b12fda2db12ff2	legume_family/ncbi/Glycine_max/Tanba_v3.02/genome/GCA_046254615.1_Tanba_v3.02_genomic.fna.gz	legume_family_ncbi	Glycine	Glycine max	Tanba_v3.02	ncbi_genomic	301493664	1780832856000000000
